stop_id,stop_name,routes
bus-rs-kemasan-halte-2-d40e54c3,RS Kemasan (Halte 2),14
bus-rs-kemasan-e-e928a0fb,RS Kemasan (T),14
bus-rs-queen-latifa-f8657100,RS Queen Latifa,8
bus-rsu-gramedika-268ded80,RSU Gramedika,14
bus-rsu-gramedika-s-d662374f,RSU Gramedika (S),14
bus-rsu-gramedika-n-bf416e83,RSU Gramedika (U),14
bus-rsu-gramedika-2-cb945382,RSU Gramedika 2,14
bus-raminten-w-04c634dd,Raminten (B),12
bus-raminten-e-eb1b3bbb,Raminten (T),12
bus-raminten-boutique-cafe-ea7b41ba,Raminten Boutique & Cafe,12|14
bus-raminten-boutique-cafe-halte-2-0e5ed010,Raminten Boutique & Cafe (Halte 2),12|14
bus-randubelang-w-52dbb8d9,Randubelang (Barat),11
bus-randubelang-e-f45783e6,Randubelang (Timur),11
bus-sd-n-1-depok-4283089a,SD N 1 Depok,14
bus-sd-n-percobaan-3-pakem-6d3873f6,SD N Percobaan 3 Pakem,14
bus-sd-negeri-selomulyo-halte-2-e4b1ce33,SD Negeri Selomulyo (Halte 2),14
bus-sdn-1-demak-ijo-c2c3b953,SDN 1 Demak Ijo,13|8
bus-sdn-1-demak-ijo-s-62cb8e60,SDN 1 Demak Ijo (S),13
bus-sdn-1-demak-ijo-n-6c5c9e34,SDN 1 Demak Ijo (U),13
bus-sdn-1-demak-ijo-2-4199d9d2,SDN 1 Demak Ijo 2,13|8
bus-sdn-1-depok-w-0e6bec37,SDN 1 Depok (B),14
bus-sdn-1-depok-e-a96ed8de,SDN 1 Depok (T),14
bus-sdn-gedong-tengen-fb792715,SDN Gedong Tengen,1B
bus-sdn-kintelan-e54b7bb2,SDN Kintelan,2A
bus-sdn-percobaan-3-pakem-cdf97104,SDN Percobaan 3 Pakem,12
bus-sdn-percobaan-3-pakem-e-591b75a7,SDN Percobaan 3 Pakem (T),14
bus-sdn-selomulyo-b39b4b23,SDN Selomulyo,14
bus-sdn-selomulyo-s-70488509,SDN Selomulyo (S),14
bus-sdn-selomulyo-n-4159e337,SDN Selomulyo (U),14
bus-sgm-kusumanegara-s-c3683ba7,SGM Kusumanegara (Selatan),10|1B|2A|4A
bus-sgm-kusumanegara-n-ff7fc910,SGM Kusumanegara (Utara),1B|2B|4B
bus-sma-budi-mulia-dua-4466124f,SMA Budi Mulia Dua,14
bus-sma-budi-mulia-dua-halte-2-a875f96a,SMA Budi Mulia Dua (Halte 2),14
bus-sma-muhammadiyah-3-6d7172c5,SMA Muhammadiyah 3,10
bus-sma-negeri-2-ngaglik-9e9eeab5,SMA Negeri 2 Ngaglik,14
bus-sma-negeri-2-ngaglik-halte-2-da0e0964,SMA Negeri 2 Ngaglik (Halte 2),14
bus-sman-2-ngaglik-s-a47bf6f9,SMAN 2 Ngaglik (S),14
bus-sman-2-ngaglik-n-2e4cef65,SMAN 2 Ngaglik (U),14
bus-smk-n-5-s-0d099053,SMK N 5 (Selatan),4B
bus-smk-n-5-n-5d2e3d5f,SMK N 5 (Utara),10|4A
bus-smkn-1-depok-16f4e579,SMKN 1 Depok,14
bus-smkn-1-depok-w-346d033d,SMKN 1 Depok (B),14
bus-smkn-1-depok-halte-2-25f1181b,SMKN 1 Depok (Halte 2),14
bus-smkn-1-depok-e-34fb5c69,SMKN 1 Depok (T),14
bus-smp-3-gamping-6fb14f1c,SMP 3 Gamping,8
bus-smp-muhammadiyah-3-8d306de7,SMP Muhammadiyah 3,10
bus-smp-n-4-depok-ced1844f,SMP N 4 Depok,5B
bus-smp-negeri-2-ngaglik-15131f5b,SMP Negeri 2 Ngaglik,12
bus-smp-negeri-2-ngaglik-e-849e20e5,SMP Negeri 2 Ngaglik (Timur),12
bus-smpn-2-ngaglik-w-aa32d431,SMPN 2 Ngaglik (B),12
bus-smpn-2-ngaglik-e-896a85b0,SMPN 2 Ngaglik (T),12
bus-smpn-4-pakem-c5d3922a,SMPN 4 Pakem,12|14
bus-smpn-4-pakem-e-ca3b6e77,SMPN 4 Pakem (T),12
bus-spbu-concat-w-5ef7d708,SPBU Concat (B),12
bus-spbu-concat-e-e9b46f87,SPBU Concat (T),12
