stop_id,stop_name,routes
bus-rru-instiper-1-baca4daa,TPB RRU Instiper 1,3B
bus-ruba-graha-1-1f748207,TPB Ruba Graha 1,11
bus-ruba-graha-2-31bc4852,TPB Ruba Graha 2,11
bus-ruko-babarsari-3ba71551,TPB Ruko Babarsari,1B|5A
bus-ruko-bayeman-1-0f4e80e5,TPB Ruko Bayeman 1,10
bus-ruko-bayeman-2-23c4a9d2,TPB Ruko Bayeman 2,10
bus-sma-5-7ee38138,TPB SMA 5,3A
bus-smk-tajem-ringroad-utara-5c71b7ff,TPB SMK Tajem Ringroad Utara,3B
bus-smp-9-basen-5068183c,TPB SMP 9 Basen,2B
bus-smp-9-kota-a0cfd8bc,TPB SMP 9 Kota,2A
bus-sorogenen-wirosaban-a0db3a0a,TPB Sorogenen (Wirosaban),3A
bus-suroto-1-321a9677,TPB Suroto 1,5B
bus-tni-al-1-713b0f9f,TPB TNI AL 1,10
bus-tambak-bayan-1-6c8972ca,TPB Tambak Bayan 1,1B|5A
bus-tarumartani-e70598d0,TPB Tarumartani,10
bus-unisa-51efca60,TPB UNISA,8
bus-wirobrajan-1-372c96cd,TPB Wirobrajan 1,10
bus-taman-makam-pahlawan-s-b570770d,Taman Makam Pahlawan (Selatan),1B
bus-taman-makam-pahlawan-n-ca938221,Taman Makam Pahlawan (Utara),1B
bus-tarumartani-n-f5b09b35,Tarumartani (Utara),10
bus-teknik-ugm-n-590d475e,Teknik UGM (Utara),5B
bus-terminal-pakem-ee26af28,Terminal Pakem,12|14
bus-timoho-w-b557460d,Timoho (Barat),10|4B
bus-timoho-e-91beeecd,Timoho (Timur),10|4A
bus-timur-jembatan-yapah-f9e728bc,Timur Jembatan Yapah,14
bus-timur-jembatan-yapah-s-bc77fe61,Timur Jembatan Yapah (S),14
bus-timur-jembatan-yapah-n-99a51436,Timur Jembatan Yapah (U),14
bus-timur-jembatan-yapah-2-c23c9c0a,Timur Jembatan Yapah 2,14
bus-timur-simpang-bantulan-022eaf0f,Timur Simpang Bantulan,13
bus-toko-saerah-s-526320bd,Toko Saerah (S),13
bus-toko-saerah-n-27c4075a,Toko Saerah (U),13
bus-tugu-batas-desa-yapah-89c1dac7,Tugu Batas Desa Yapah,14
bus-tugu-batas-desa-yapah-s-833f3792,Tugu Batas Desa Yapah (S),14
bus-tugu-batas-desa-yapah-n-c5ad09e1,Tugu Batas Desa Yapah (U),14
bus-tugu-batas-desa-yapah-2-d76e547f,Tugu Batas Desa Yapah 2,14
bus-uii-w-d1ee7fb5,UII (B),12
bus-uii-barat-jalan-38ce747d,UII (Barat Jalan),12|14
bus-uii-e-1d36c15a,UII (T),12
bus-uii-timur-jalan-4bb919c8,UII (Timur Jalan),12|14
bus-unriyo-w-b750694f,UNRIYO (B),14
bus-unriyo-e-2a33f7d2,UNRIYO (T),14
bus-warung-sego-penyetan-banyuwangi-c614c8b7,Warung Sego Penyetan Banyuwangi,12
bus-wedangan-kampoeng-1ea8493d,Wedangan Kampoeng,12
bus-wedangan-kampoeng-w-12246027,Wedangan Kampoeng (B),12
bus-wedangan-kampoeng-e-ceacc5d5,Wedangan Kampoeng (Timur),12
bus-wirogunan-w-d030e655,Wirogunan (Barat),4A
bus-wirogunan-e-42aa1c47,Wirogunan (Timur),4B
bus-yakkum-w-f4278b8b,YAKKUM (B),12
bus-yakkum-e-64febcd3,YAKKUM (T),12
