stop_name,candidate_activity_id,candidate_name,longitude,latitude,routes,score
Halte SMP N 2 Bantul,6a82a97038bb192425f4bbad,Halte SMPN 2 Bantul A,110.33576157585333,-7.8745041194765975,15,0.671264
Samirono (S),6a92d9d852d86e03b51ddbd2,Halte Samirono,110.38753936487592,-7.77771952559074,12,1.000000
Sanata Dharma (T),6a8e970046690fc6c68d9f71,Halte Sanata Dharma,110.38929278399246,-7.775092965334977,12,1.000000
Santren (B),6a8e78f452d86e03b51b44d5,Halte Santren B,110.39233672460091,-7.765872802964594,12,0.725000
Halte Santren,6a8e78f452d86e03b51b44d5,Halte Santren B,110.39233672460091,-7.765872802964594,2A|4B,0.725000
TPB Simpang Diklat DIY,6a8a9e6b0d6732db988c19cf,Halte Simpang Diklat DIY A,110.33250482677738,-7.828828712232749,6,0.868421
Simpang Gose (Halte 1),6a829d594fd70be4125cdec8,Halte Simpang Gose A,110.32542201135317,-7.8919660119321975,15,0.654118
Simpang Gose (Halte 2),6a829d594fd70be4125cdec8,Halte Simpang Gose A,110.32542201135317,-7.8919660119321975,15,0.654118
Simpang Kasongan,6a82b53038bb192425f4c960,Halte Simpang Kasongan A,110.3445162159357,-7.846381616403178,15,0.831373
Simpang Kasongan (Halte 2),6a82b53038bb192425f4c960,Halte Simpang Kasongan A,110.3445162159357,-7.846381616403178,15,0.674286
TPB Simpang Wojo 1,6a8d399552d86e03b51a8e6c,Halte Simpang Wojo,110.37376259705007,-7.8363931103692295,9,0.820513
Sosrowijayan,6a8a69c30d6732db988bded7,Halte Sosrowijayan di Jl. Gandekan,110.36151182576276,-7.792450662486047,EV3,
Lempuyangan Gudang (Utara),6a82aa139870dcf66e458f1f,Halte Stasiun Lempuyangan,110.37746284627354,-7.790234774910843,10|2B|4B,0.655172
Teknik UGM (Selatan),6a8d0e9c52d86e03b51a67b9,Halte TPB Teknik UGM 2 (Selatan),110.3745721416305,-7.764267293478937,5A,0.812121
Halte TJ YKPN,6a82bca038bb192425f4d1ce,Halte TPB Trans Jogja - AA YKPN,110.3835311019015,-7.786178490478329,1A|5A,0.636364
Dishub DIY,6a82d0a44fd70be4125d1b6f,Halte TPB Trans Jogja - Dishub DIY A,110.41509487682555,-7.778070566219171,5B,0.812121
Karangjati (Timur),6a8435e6bb859bd06d94f987,Halte TPB Trans Jogja - Karangjati A,110.36919915726202,-7.764116001012513,2A,0.745455
Karangjati (Barat),6a8435e6bb859bd06d94f987,Halte TPB Trans Jogja - Karangjati A,110.36919915726202,-7.764116001012513,2B,0.745455
STIE YKPN (Barat),6a82d7ea4fd70be4125d2241,Halte TPB Trans Jogja - STIE YKPN A,110.41036062602092,-7.767040656408739,5A,0.806667
STIE YKPN (Timur),6a82d7ea4fd70be4125d2241,Halte TPB Trans Jogja - STIE YKPN A,110.41036062602092,-7.767040656408739,5B,0.806667
TPB Tegal Turi 1,6a893073478dc3b356b7399a,Halte Tegal Turi A,110.3871334359431,-7.825409998099445,3A,0.750000
