source_id,dataset,name,category,subcategory,longitude,latitude,observed_date,source
6a6af8f03c4ecfd6914fb837,propertigo,,Tanah,Dijual,110.4455651418636,-7.7970874660370555,,mapid_missions
6a6af8f03c4ecfd6914fb838,propertigo,,Tanah,Dijual,110.44535766748561,-7.799329041956113,,mapid_missions
6a6af8f03c4ecfd6914fb839,propertigo,,Ruko,Disewa,110.45443325765308,-7.805765702832886,,mapid_missions
6a6af8f03c4ecfd6914fb83a,propertigo,,Rumah,Disewa,110.4563851367185,-7.80772549299806,,mapid_missions
6a6af8f03c4ecfd6914fb83b,propertigo,,"Retail (toko baju, peralatan olahraga, toko elektronik, dll)",Disewa,110.45152422097044,-7.805114983507636,,mapid_missions
6a6af8f03c4ecfd6914fb83c,propertigo,,Ruko,Disewa,110.44918204321272,-7.804942769099668,,mapid_missions
6a6af8f03c4ecfd6914fb83e,propertigo,,Kantor,Disewa,110.44264618892828,-7.8214026793172025,,mapid_missions
6a6af8f03c4ecfd6914fb83f,propertigo,,Rumah,Disewa,110.44293973744368,-7.8162657258429675,,mapid_missions
6a6af8f03c4ecfd6914fb840,propertigo,,Tanah,Dijual,110.44283159880104,-7.816239476673431,,mapid_missions
6a6af8f03c4ecfd6914fb842,propertigo,,Ruko,Disewa,110.43859172615157,-7.804228738501905,,mapid_missions
6a6af8f03c4ecfd6914fb844,propertigo,,Ruko,Disewa,110.429542983337,-7.803513364844079,,mapid_missions
6a6af8f03c4ecfd6914fb846,propertigo,,Ruko,Disewa,110.42722450884844,-7.805330156110131,,mapid_missions
6a6af8f03c4ecfd6914fb847,propertigo,,Rumah,Disewa,110.414272413128,-7.798657409286264,,mapid_missions
6a6af8f03c4ecfd6914fb84c,propertigo,,Rumah,Dijual,110.40217043362878,-7.800818268492705,,mapid_missions
6a6af8f03c4ecfd6914fb84e,propertigo,,"Retail (toko baju, peralatan olahraga, toko elektronik, dll)",Dijual,110.40218972121846,-7.801049728209975,,mapid_missions
6a6af8f03c4ecfd6914fb84f,propertigo,,Ruko,Dijual,110.40239665430579,-7.801198322802577,,mapid_missions
6a6af8f03c4ecfd6914fb852,propertigo,,Rumah,Disewa,110.40678920315753,-7.802494291258228,,mapid_missions
6a6af8f03c4ecfd6914fb854,propertigo,,Ruko,Dijual,110.40831437627156,-7.80254417036322,,mapid_missions
6a6af8f03c4ecfd6914fb855,propertigo,,Ruko,Disewa,110.40921878270694,-7.802409877690195,,mapid_missions
6a6af8f03c4ecfd6914fb856,propertigo,,Ruko,Disewa,110.40917789185067,-7.802587033029084,,mapid_missions
6a6af8f03c4ecfd6914fb85a,propertigo,,Ruko,Disewa,110.402370567493,-7.802016703963716,,mapid_missions
6a6af8f03c4ecfd6914fb8a7,propertigo,,Ruko,Disewa,110.38128581756234,-7.783001865370338,,mapid_missions
6a6af8f03c4ecfd6914fb8a8,propertigo,,Ruko,Disewa,110.38185296749907,-7.783139142216925,,mapid_missions
6a6af8f03c4ecfd6914fb8a9,propertigo,,Ruko,Dijual,110.3794077459849,-7.7800724175828435,,mapid_missions
6a6af8f03c4ecfd6914fb8aa,propertigo,,Ruko,Disewa,110.37953301831288,-7.7800913013536785,,mapid_missions
6a6af8f03c4ecfd6914fb8ab,propertigo,,"Retail (toko baju, peralatan olahraga, toko elektronik, dll)",Dijual,110.39367375305858,-7.788859629694514,,mapid_missions
6a6af8f03c4ecfd6914fb8ac,propertigo,,Ruko,Dijual,110.39348554584939,-7.790637344922786,,mapid_missions
6a6af8f03c4ecfd6914fb8ad,propertigo,,Ruko,Disewa,110.39341911370121,-7.790859226044674,,mapid_missions
6a6af8f03c4ecfd6914fb8ae,propertigo,,"Retail (toko baju, peralatan olahraga, toko elektronik, dll)",Disewa,110.39156718268782,-7.802193297735883,,mapid_missions
