source_id,kind,name,longitude,latitude,observed_at,source
6a858a723dbe4dacc784dbf6,becak,Pangkalan becak di depan toko oblong khas jogja,110.36584830000834,-7.791333799972875,2026-08-19T10:50:26.437Z,mapid_activities
6a8d4f34eca288692ef3bc85,becak,Pangkalan becak di depan toko parfum jogja,110.36530869997245,-7.796647299982553,2026-08-25T08:15:48.740Z,mapid_activities
6a8bdb39a4262ae1033d1d64,becak,Pangkalan becak di depan toko Ria Busana,110.36561450002011,-7.794581300012851,2026-08-24T05:48:41.542Z,mapid_activities
6a8d642652d86e03b51ab922,becak,Pangkalan becak di samping parkiran dekat gereja kristen margomulyo,110.36494519994068,-7.799654499978828,2026-08-25T09:45:10.718Z,mapid_activities
6a938d3852d86e03b51e2df2,becak,Pangkalan Becak di Timur Alun-Alun Utara,110.36737512295667,-7.803540728751017,2026-08-30T01:54:00.702Z,mapid_activities
6a8fa4e05148674129baa21b,becak,PANGKALAN BECAK GUYUB RUKUN,110.35642798964244,-7.80292431713643,2026-08-27T02:45:52.650Z,mapid_activities
6a938eca52d86e03b51e2f89,becak,Pangkalan Becak Jalan Juminahan,110.37066870000001,-7.7967608,2026-08-30T02:00:42.032Z,mapid_activities
6a8efe2852d86e03b51bc13c,becak,Pangkalan Becak Malioboro,110.36608619999998,-7.790077,2026-08-26T14:54:32.985Z,mapid_activities
6a9396a5dc237a3a8a7a0d44,becak,Pangkalan Becak Pasar Kranggan,110.36531060533923,-7.7821439466915905,2026-08-30T02:34:13.795Z,mapid_activities
6a7ffb2164cd6753c735c580,becak,Pangkalan Becak Sisi Timur Alun-Alun Utara Keraton deket BMT PDHI,110.36350189534511,-7.802979729176869,2026-08-15T05:37:37.180Z,mapid_activities
6a800248d957b5819e8aaa91,becak,Pangkalan Becak Sisi Utara Alun-Alun Barat Keraton,110.36564186622945,-7.803186741514708,2026-08-15T06:08:08.217Z,mapid_activities
6a800005d957b5819e8aa80d,becak,Pangkalan Becak Sisi Utara Alun-Alun Utara Keraton,110.36456152175532,-7.802749810934799,2026-08-15T05:58:29.708Z,mapid_activities
6a82d2c79870dcf66e45c0d4,becak,Pangkalan becak stasiun tugu,110.36629036992389,-7.788352424581461,2026-08-17T09:22:15.262Z,mapid_activities
6a8585a7f0f545c4c4dba7bc,becak,Pangkalan Becak yang berada di ujung malioboro depan Bank BPD DIY,110.36606149995151,-7.790119899989449,2026-08-19T10:29:59.835Z,mapid_activities
6a867b720235f477d358a9ce,becak,Parkir khusus Becak dipintu keluar stasiun tugu,110.35039105180215,-7.784068731547379,2026-08-20T03:58:42.541Z,mapid_activities
6a8162c7d5266713ac937b23,becak,Pengkalan becak samping pos tourism police,110.36574263840919,-7.7938360455076605,2026-08-16T07:12:07.077Z,mapid_activities
6a7ff93864cd6753c735c3a9,becak,Tarif Pangkalan Becak Sisi Timur Alun-Alun Utara Keraton,110.36332617956896,-7.803898574362141,2026-08-15T05:29:28.312Z,mapid_activities
6a8fa90d52d86e03b51bdf93,becak,Tempat Kumpul Becak di Alun-Alun Lor,110.3656532,-7.8037,2026-08-27T03:03:41.717Z,mapid_activities
6a938ac052d86e03b51e2cd8,becak,Titik Kumpul Becak Pasar Serangan,110.35435425789098,-7.801028651572679,2026-08-30T01:43:28.844Z,mapid_activities
6a8518483c2b86117d095518,becak,Transfer Antar Moda Becak dan Halte Taksi dekat Tugu,110.36702773480016,-7.783297265597284,2026-08-19T02:43:20.333Z,mapid_activities
6a896b7c478dc3b356b7765e,becak,Transfer Antar Moda Halte Mangkubumi 2 ke Becak,110.36648895190996,-7.787457658445788,2026-08-22T09:27:24.504Z,mapid_activities
6a86e10a89acf23707a37605,becak,Transfer Moda Becak dan Halte Mangkubumi 1,110.36691829877793,-7.7847608592633435,2026-08-20T11:12:10.366Z,mapid_activities
6a86d9880235f477d35914b6,becak,Transfer Moda Halte Transjogja Mangkubumi 2 dan Becak,110.3663143309812,-7.78849900255448,2026-08-20T10:40:08.642Z,mapid_activities
6a8517663dbe4dacc78450fd,becak,Transfer Moda Transjogja Halte Mangkubumi 1 dan Becak,110.3670096313565,-7.783439615361289,2026-08-19T02:39:34.040Z,mapid_activities
6a93933052d86e03b51e3201,halte,Halte Among Rogo A,110.38480921147521,-7.798480522216252,2026-08-30T02:19:28.305Z,mapid_activities
6a9392d352d86e03b51e30da,halte,Halte Among Rogo B,110.38488776011417,-7.798469504272177,2026-08-30T02:17:55.669Z,mapid_activities
6a92d19952d86e03b51dd0d3,halte,Halte APMD A,110.39334560001697,-7.791127300004874,2026-08-29T12:33:29.848Z,mapid_activities
6a92d25052d86e03b51dd248,halte,Halte APMD B,110.39322270000002,-7.7916055,2026-08-29T12:36:32.216Z,mapid_activities
6a8a538e52d86e03b518f041,halte,Halte APMD Timur di Depan STPMD APMD Yogyakarta,110.39335082850641,-7.791168291573598,2026-08-23T01:57:34.792Z,mapid_activities
6a93a0cf52d86e03b51e3cc6,halte,Halte Banguntapan A,110.40213096663405,-7.807751920699857,2026-08-30T03:17:35.706Z,mapid_activities
6a939f8952d86e03b51e3c50,halte,Halte Banguntapan B,110.40221110000465,-7.807193699990009,2026-08-30T03:12:09.766Z,mapid_activities
6a89137759146ea8941f98ff,halte,Halte Biologi UGM,110.37678317835054,-7.765277424843973,2026-08-22T03:11:51.653Z,mapid_activities
6a8cf35c52d86e03b51a595f,halte,Halte Biologi UGM,110.3767941399006,-7.765264836068539,2026-08-25T01:43:56.563Z,mapid_activities
6a86db21460277aa84153298,halte,Halte bis trans jogjaa bagian selatan barat stasiun lempuyangan,110.37349718867335,-7.790450481172414,2026-08-20T10:46:57.121Z,mapid_activities
6a86dbdf0235f477d35916e4,halte,Halte bis transjogja bagian selatan timur stasiun lempuyangan,110.37344287643867,-7.790539156027535,2026-08-20T10:50:07.734Z,mapid_activities
6a8822233be6880665734fc9,halte,Halte BKD A,110.35596291688137,-7.782405022552254,2026-08-21T10:02:11.327Z,mapid_activities
6a8822953be68806657351aa,halte,Halte BKD B,110.35588600445328,-7.782497551793682,2026-08-21T10:04:05.740Z,mapid_activities
6a8aa8c20d6732db988c2ee6,halte,Halte BPD Gamping,110.31877570245945,-7.801671229224345,2026-08-23T08:01:06.844Z,mapid_activities
6a82a5f44fd70be4125ce85c,halte,Halte BRI Bantul,110.33223962062823,-7.882134560860607,2026-08-17T06:11:00.793Z,mapid_activities
6a82c28a9870dcf66e45abdc,halte,Halte Bus Trans Jogja - Jl. Solo,110.39275871461035,-7.783212280859928,2026-08-17T08:12:58.627Z,mapid_activities
6a8a7b7e0d6732db988beec6,halte,Halte Bus Trans Jogja - SMPN 14,110.35988619809541,-7.786647641096835,2026-08-23T04:47:58.052Z,mapid_activities
6a8d00b0eca288692ef3728a,halte,Halte Cik Di Tiro,110.37512734006174,-7.782377312450095,2026-08-25T02:40:48.132Z,mapid_activities
6a8a440052d86e03b518e7a6,halte,Halte Cokroaminoto SMA 1 /RS AMC Muhammadiyah di Depan RS AMC Muhammadiyah dan di seberang SMA 1 Teladan Yogyakartw,110.35214274909782,-7.799412498656963,2026-08-23T00:51:12.881Z,mapid_activities
6a82e6ab9870dcf66e45d329,halte,Halte dekat Jl. Malioboro,110.36620319061996,-7.790006536903505,2026-08-17T10:47:07.462Z,mapid_activities
6a881b093be68806657348fb,halte,Halte Demak Ijo A,110.33200107973175,-7.776576573776808,2026-08-21T09:31:53.496Z,mapid_activities
6a881a76d57440d48a1f3799,halte,Halte Demak Ijo B,110.33188445713478,-7.775856315140288,2026-08-21T09:29:26.557Z,mapid_activities
6a82d2004fd70be4125d1cc0,halte,Halte depan Harper Hotel,110.36686528113285,-7.7849197381084565,2026-08-17T09:18:56.252Z,mapid_activities
6a8865d852d86e03b517e405,halte,Halte depan Optik Mataram,110.36782097470956,-7.7939187123823075,2026-08-21T14:51:04.418Z,mapid_activities
6a8d38c9eca288692ef39f38,halte,Halte Depan UNY,110.38747669999998,-7.77783,2026-08-25T06:40:09.422Z,mapid_activities
6a8829163be6880665735b08,halte,Halte Diponegoro,110.36256915560529,-7.782884828522057,2026-08-21T10:31:50.850Z,mapid_activities
6a82b8249870dcf66e45a034,halte,Halte Dongkelan A,110.35377538548437,-7.8302193815059695,2026-08-17T07:28:36.483Z,mapid_activities
6a82b89e9870dcf66e45a14c,halte,Halte Dongkelan B,110.35399040348483,-7.829200917429532,2026-08-17T07:30:38.453Z,mapid_activities
