stop_id,stop_name,mode,candidate_activity_id,candidate_name,candidate_direction_code,longitude,latitude,observed_at,match_reason,score,rank,evidence_count
bus-eks-menara-kopi-selatan-a7802379,Eks Menara Kopi Selatan,bus,6a86be25460277aa8415118b,Halte Eks Menara Kopi A,,110.37010514084454,-7.789256599640282,2026-08-20T08:43:17.989Z,fuzzy,0.750000,1,1
bus-eks-menara-kopi-selatan-a7802379,Eks Menara Kopi Selatan,bus,6a86beab89acf23707a35190,Halte Eks Menara Kopi B,,110.37007950053442,-7.7894575408621165,2026-08-20T08:45:31.514Z,fuzzy,0.720000,2,1
bus-eks-stasiun-ka-bantul-aaacaef2,Eks. Stasiun KA Bantul,bus,6a82a16138bb192425f4b26e,Halte Eks Stasiun Bantul,,110.32934103284327,-7.887393105175448,2026-08-17T05:51:29.495Z,fuzzy,0.853846,1,1
bus-fkg-ugm-n-14f6b4a2,FKG UGM (U),bus,6a8cf57152d86e03b51a5a67,Halte FKG UGM A,,110.37520499526164,-7.771397214324622,2026-08-25T01:52:49.314Z,fuzzy,0.791667,1,1
bus-fkg-ugm-n-14f6b4a2,FKG UGM (U),bus,6a8cf67ceca288692ef36cd9,Halte FKG UGM B,,110.37534514299637,-7.771510215591562,2026-08-25T01:57:16.428Z,fuzzy,0.791667,2,1
bus-fkg-ugm-s-1cd7bfe3,FKG UGM (S),bus,6a8cf57152d86e03b51a5a67,Halte FKG UGM A,,110.37520499526164,-7.771397214324622,2026-08-25T01:52:49.314Z,fuzzy,0.791667,1,1
bus-fkg-ugm-s-1cd7bfe3,FKG UGM (S),bus,6a8cf67ceca288692ef36cd9,Halte FKG UGM B,,110.37534514299637,-7.771510215591562,2026-08-25T01:57:16.428Z,fuzzy,0.791667,2,1
bus-gambiran-1-b1d95bb9,TPB Gambiran 1,bus,6a93a40452d86e03b51e3e65,Halte Gambiran A,,110.39098195776171,-7.8169272310724836,2026-08-30T03:31:16.771Z,fuzzy,0.673333,1,1
bus-gambiran-1-b1d95bb9,TPB Gambiran 1,bus,6a93a3aadc237a3a8a7a1649,Halte Gambiran B,,110.39090624605723,-7.817090693396565,2026-08-30T03:29:46.813Z,fuzzy,0.673333,2,1
bus-gembira-loka-746e2bf0,Gembira Loka,bus,6a939db0dc237a3a8a7a12dd,Halte Gembira Loka A,,110.40007064518875,-7.80223291459842,2026-08-30T03:04:16.970Z,fuzzy,0.820513,1,1
bus-gembira-loka-746e2bf0,Gembira Loka,bus,6a939c2052d86e03b51e3909,Halte Gembira Loka B,,110.39890006084181,-7.8021697986454654,2026-08-30T02:57:36.272Z,fuzzy,0.820513,2,1
bus-gereja-pugeran-ab090bbd,Halte Gereja Pugeran,bus,6a85639f3dbe4dacc784adca,Halte Gereja Pugeran A,,110.3559019322164,-7.816596831411331,2026-08-19T08:04:47.995Z,fuzzy,0.826667,1,1
bus-gereja-pugeran-ab090bbd,Halte Gereja Pugeran,bus,6a8563653dbe4dacc784ad68,Halte Gereja Pugeran B,,110.35596342232463,-7.816807431463346,2026-08-19T08:03:49.694Z,fuzzy,0.826667,2,1
bus-gor-among-rogo-e2afbc5d,TPB GOR Among Rogo,bus,6a93933052d86e03b51e3201,Halte Among Rogo A,,110.38480921147521,-7.798480522216252,2026-08-30T02:19:28.305Z,fuzzy,0.661538,1,1
